,position,age,height,weight,rating,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
12,1.0,0.6000000000000001,0.8894472361809045,0.73,0.7952755905511812,0.001584363205285383,0.5712121470032513,0.5153675655707425,0.5354498427832437,0.0,0.3499005964214712,0.31345098965444507,0.5193476000218926,0.4188042734592915,0.02291427976252474,0.028487229862475445,0.11627417998317915,0.2561003410142966,0.1877487688052351,0.20830470956415542,0.18067925091954667,0.1872391687819989,0.13443480328063712,0.19694297472075253,0.0,0.0,0.0,0.0,0.5064935064935066,0.4290598290598291,0.0,0.21791044776119395,0.39638826185101594,0.22010505716345657,0.27836573960127986,0.18037640093042928,0.11112057269481135
13,1.0,0.6000000000000001,0.8793969849246231,0.73,0.6496062992125985,0.014142289140949697,0.4764158169778882,0.43823420760990023,0.5257125469114514,0.0,0.4121272365805169,0.22901428623754486,0.36878112856439166,0.40247881690437337,0.3029111550880117,0.04352425570500227,0.15500420521446592,0.6022880058805193,0.5117240581721456,0.24239152954518195,0.2537575384155791,0.34416813664329043,0.6708268948849004,0.24828532235939646,0.0,0.30748663101604273,0.19376579612468406,0.0,0.154948499776086,0.0,0.0,0.35579793340987376,0.6036117381489849,0.2965289937171696,0.6095249815407334,0.2947769084373017,0.13882625362907952
14,0.6666666666666667,0.40000000000000013,0.9597989949748744,0.86,0.609448818897638,0.003790098371549916,0.09183447665412701,0.04983376431473956,0.06319099300131858,0.0,0.08250497017892645,0.8401775328042882,0.09370039954025505,0.5310562601968317,0.19721903968336632,0.13329303309656945,0.5323380992430614,0.3398326098991844,0.4399919044727788,0.026017643146106623,0.029052073414365463,0.1260164350557157,0.3165339355758945,0.2643543013913384,0.0,0.0,0.08761583824768322,0.18245614035087715,0.0,0.0,0.0,0.06475315729047071,0.665011286681715,0.021423421567617673,0.11493969972926409,0.08944808627616832,0.17531504209789528
15,1.0,0.3333333333333335,0.9095477386934674,0.76,0.7722592368261662,0.02588250072375059,0.44300134474951913,0.4206132249722941,0.4949792068161071,0.0,0.39801192842942346,0.3240832544986303,0.4485523507197198,0.5681648334298195,0.12707009686490991,0.009445367991536953,0.05260723296888141,0.5302981665247712,0.46305451952082194,0.45570130960559174,0.432196269534532,0.31286839048315623,0.3767581916874678,0.12267293748775232,0.0,0.0,0.21061499578770007,0.0,0.28034034930586654,0.2136752136752137,0.0,0.5422502870264063,0.6595936794582395,0.45102482232979707,0.7083435884814177,0.39120321421019233,0.11247807659835107
16,0.0,0.19999999999999996,0.9547738693467337,0.8200000000000001,0.5610236220472442,0.0012256980760165489,0.0,0.0,0.0,0.8544078037417195,0.0,0.19321596330113008,0.0,0.39298457975896,0.0,0.0,0.023507148864592094,0.014733864627094119,0.021549522460269272,0.0,0.0,0.021920578238609476,0.022148262609453625,0.0,0.0,0.49732620320855603,0.0,0.0,0.0,0.0,0.8318452380952381,0.0378874856486795,0.5693002257336341,0.019157482747965804,0.022889490524243168,0.4277155142031437,0.012261830617880026
17,1.0,0.40000000000000013,0.9346733668341709,0.8,0.6592698639942735,0.004694514218153511,0.6638807088021516,0.6621352050240118,0.6564560300233289,0.0,0.1650099403578529,0.19001415867057536,0.30428000656778503,0.5898215883374559,0.116680554108947,0.06271724346380536,0.05584524810765349,0.3057497894829888,0.23031774944343253,0.0796231476332232,0.06506842920890979,0.23977111388374994,0.565513689131899,0.4552224181853812,0.0,0.0,0.0,0.0,0.14867890729959696,0.0,0.0,0.5382319173363947,0.3733634311512417,0.5128231537748481,0.4901550578390352,0.5324592937196024,0.037379662338564906
18,1.0,0.40000000000000013,0.9396984924623115,0.9,0.40157480314960636,0.0004523092258727667,0.6426711151207721,0.5224972294052457,0.5196267369915812,0.0,0.11073558648111333,0.21392096657871704,0.25907175305128344,0.16179674753960316,0.10149984376627434,0.10095209309354694,0.07026913372582001,0.5678795237895853,0.5291679918273725,0.1518095674266959,0.1351593569708172,0.3300778729079723,0.6266096121082452,0.39290613364687443,0.0,0.0,0.18786857624262845,0.19473684210526315,0.1495745633676668,0.3811965811965812,0.0,0.05074626865671639,0.5530474040632058,0.03440107117107838,0.09598818606940683,0.03362233030238951,0.15015482417937837
19,1.0,0.5333333333333334,0.9547738693467337,0.84,0.6850393700787403,0.05000547033883234,0.618993310296696,0.6009604728481714,0.49741353078405515,0.0,0.19025844930417493,0.16972722140194837,0.28151168518417163,0.5358349560549445,0.16818560566607646,0.08138129061508238,0.1257359125315391,0.5559416972556025,0.48303312419888006,0.22565343975923322,0.21886144252133158,0.43759411435701073,0.8388604936804153,0.6329610033313736,0.5636792452830189,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.49575200918484486,0.6176072234762979,0.41888968997837056,0.647674132414472,0.3400296045675618,0.12652203681336743
20,0.0,0.26666666666666683,0.9547738693467337,0.93,0.53042233357194,0.0025315557508569075,0.002621410455001958,0.0,0.0,0.6449006333260539,0.0,0.1961007450668843,0.002107164358819988,0.19475817062259876,0.0,0.0,0.029142136248948698,0.012184398944856173,0.02078815740017926,0.005877413937867339,0.01006366810433354,0.0014628060061093653,0.003050834026704703,0.19615912208504802,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.020206659012629302,0.548984198645599,0.007930785868781542,0.009475756829928624,0.016071050962148444,0.3029826518256423
21,0.3333333333333333,0.26666666666666683,0.8944723618090452,0.71,0.46231721034870654,0.0005568669861224483,0.3114201576250702,0.2398226819357222,0.0798255401156304,0.0,0.3518886679920477,0.40011822047866663,0.44682830715341254,0.678790589968949,0.27661181126965945,0.029696236965392177,0.33090832632464257,0.5280743625172717,0.41141662088838776,0.2702847110907564,0.23138968240631827,0.2522479886417416,0.7248702405008122,0.6168920242994318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84902411021814,0.6460496613995486,0.7294263054897517,0.8231602264336697,0.7708465496581376,0.001399890101371759
